# time[s]                    Y(     n )                  Y(  ni64 )                  Y(  ni65 )
 2.5162127050074180E-09      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910671E-02
 4.3982880623151567E-09      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910671E-02
 6.2803634196228953E-09      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5101116992700282E-08      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3921870565777668E-08      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2742624138855058E-08      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5095015986962893E-07      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915769560040281E-07      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2736523133117664E-07      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094405886389152E-06      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915159459466541E-06      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735913032543926E-06      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094344876331778E-05      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915098449409163E-05      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735852022486542E-05      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338775326038E-04      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915092348403422E-04      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845921480806E-04      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338165225468E-03      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915091738302853E-03      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845311380238E-03      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338104215411E-02      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915091677292795E-02      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845250370181E-02      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338098114405E-01      4.7946276570470721E-04      4.7946276570470721E-04      1.4905152618910672E-02
 4.3915091671191792E-01      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845244269184E-01      4.7946276570470721E-04      4.7946276570470721E-04      1.4905152618910672E-02
 2.5094338097504307E+00      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 4.3915091670581692E+00      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845243659076E+00      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338097443295E+01      4.7946276570470721E-04      4.7946276570470721E-04      1.4905152618910672E-02
 4.3915091670520681E+01      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 6.2735845243598064E+01      4.7946276570470716E-04      4.7946276570470716E-04      1.4905152618910672E-02
 2.5094338097437191E+02      4.7946276570470737E-04      4.7946276570470699E-04      1.4905152618910672E-02
 4.3915091670514573E+02      4.7946276570470743E-04      4.7946276570470689E-04      1.4905152618910672E-02
 6.2735845243591962E+02      4.7946276570470743E-04      4.7946276570470689E-04      1.4905152618910672E-02
 2.5094338097436585E+03      4.7946276570470748E-04      4.7946276570470689E-04      1.4905152618910672E-02
 4.3915091670513975E+03      4.7946276570470748E-04      4.7946276570470683E-04      1.4905152618910672E-02
 6.2735845243591357E+03      4.7946276570470754E-04      4.7946276570470678E-04      1.4905152618910672E-02
 2.5094338097436521E+04      4.7946276570470824E-04      4.7946276570470629E-04      1.4905152618910678E-02
 4.3915091670513910E+04      4.7946276570471014E-04      4.7946276570470461E-04      1.4905152618910683E-02
 2.3212262740128775E+05      4.7946276570473513E-04      4.7946276570468211E-04      1.4905152618910763E-02
 4.2033016313206160E+05      4.7946276570476007E-04      4.7946276570465961E-04      1.4905152618910839E-02
 6.0853769886283542E+05      4.7946276570478489E-04      4.7946276570463706E-04      1.4905152618910908E-02
 1.0000000000000000E+06      4.7946276570483650E-04      4.7946276570459006E-04      1.4905152618911054E-02
 1.0000000000000000E+06      4.7946276570483650E-04      4.7946276570459006E-04      1.4905152618911054E-02
