# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  3.06707866047811E+000     4.66272655005589E+012     4.64602145813694E+012     2.86348541773362E+000     2.23163122041711E+010     4.26209586978277E+012     3.19570086145348E+003     2.69951486759850E+009     4.01446713052411E-001     1.65217773312875E+003     0.00000000000000E+000
  3.16894249115980E+000     4.22960044533774E+012     4.21431231242696E+012     2.35311997862499E+000     1.82886935615120E+010     3.88445746033522E+012     2.75307514154259E+003     2.22165740459597E+009     3.28391527273665E-001     1.65358336115913E+003     0.00000000000000E+000
  3.27080632184150E+000     3.84044955846993E+012     3.82644868765410E+012     1.93620818427332E+000     1.50053797653352E+010     3.54185837059231E+012     2.36991875138591E+003     1.82982189160395E+009     2.68817359843201E-001     1.65441417707114E+003     0.00000000000000E+000
  3.37267015252320E+000     3.49019705880950E+012     3.47736693542867E+012     1.59519350496092E+000     1.23255652594033E+010     3.23083510225389E+012     2.03860461940628E+003     1.50830131643894E+009     2.20208402560971E-001     1.65473982982263E+003     0.00000000000000E+000
  3.47453398320489E+000     3.17441319192286E+012     3.16264893525287E+012     1.31590489914856E+000     1.01357368871939E+010     2.94829873286337E+012     1.75242979607887E+003     1.24429125918213E+009     1.80522448195770E-001     1.65462166189698E+003     0.00000000000000E+000
  3.58277595373821E+000     2.88097494619044E+012     2.87020964498718E+012     1.07399218776379E+000     8.24351799494978E+009     2.67620442315035E+012     1.49122777695987E+003     1.01512305899806E+009     1.46280108598193E-001     1.65407010047901E+003     0.00000000000000E+000
  3.69101792427153E+000     2.60878742689103E+012     2.59896134067090E+012     8.77791280083864E-001     6.71281376853951E+009     2.43019853166893E+012     1.26817259733932E+003     8.28946285671847E+008     1.18636182527758E-001     1.65313540803218E+003     0.00000000000000E+000
  3.79925989480485E+000     2.36397809240498E+012     2.35500484292082E+012     7.18439427706219E-001     5.47293778986706E+009     2.20764141534525E+012     1.07789326858572E+003     6.77557744136710E+008     9.63009025123249E-002     1.65186748412448E+003     0.00000000000000E+000
  3.90750186533817E+000     2.14351629468929E+012     2.13531711897972E+012     5.88834472779241E-001     4.46733827103997E+009     2.00617963412747E+012     9.15735486003192E+002     5.54341916522495E+008     7.82395300190890E-002     1.65030994785562E+003     0.00000000000000E+000
  4.01574383587149E+000     1.94474446068449E+012     1.93724984903181E+012     4.83277213580440E-001     3.65071247145451E+009     1.82371280734607E+012     7.77673602187068E+002     4.53960724754116E+008     6.36215763176169E-002     1.64850091710403E+003     0.00000000000000E+000
  4.11131420970108E+000     1.77518761020118E+012     1.76830111814642E+012     4.06386075313383E-001     3.05756378564809E+009     1.67689188430064E+012     6.73014255632896E+002     3.80848485336844E+008     5.30412381693703E-002     1.64672133285351E+003     0.00000000000000E+000
  4.20688458353067E+000     1.63041708508315E+012     1.62405265001946E+012     3.42091779712412E-001     2.56297080030790E+009     1.54224839774813E+012     5.82339297920606E+002     3.19740290829612E+008     4.42502490924203E-002     1.64479194543852E+003     0.00000000000000E+000
  4.30245495736026E+000     1.49798607372901E+012     1.49210357617629E+012     2.88273443854448E-001     2.15016394117589E+009     1.41872624005372E+012     5.03824720411852E+002     2.68626050736188E+008     3.69407885448350E-002     1.64273071438547E+003     0.00000000000000E+000
  4.39802533118985E+000     1.37676382936176E+012     1.37132532993222E+012     2.43176686427182E-001     1.80529596405896E+009     1.30536662578242E+012     4.35875049370912E+002     2.25838574367379E+008     3.08588407391438E-002     1.64055359635466E+003     0.00000000000000E+000
  4.49359570501944E+000     1.26573438497241E+012     1.26070418591432E+012     2.05348715020441E-001     1.51692090530595E+009     1.20129845319470E+012     3.77096271572743E+002     1.89994137871420E+008     2.57946631439657E-002     1.63827477285034E+003     0.00000000000000E+000
  4.57861650827142E+000     1.16930739821474E+012     1.16463500829683E+012     1.76825805664357E-001     1.30015383497574E+009     1.11588395677523E+012     3.31523892025321E+002     1.63006910993252E+008     2.20039131978535E-002     1.63617226833963E+003     0.00000000000000E+000
  4.66363731152339E+000     1.08553331476577E+012     1.08117277939308E+012     1.52389122812538E-001     1.11500200633115E+009     1.03668458872719E+012     2.91491501210088E+002     1.39923354404115E+008     1.87792214436607E-002     1.63400722652130E+003     0.00000000000000E+000
  4.74865811477537E+000     1.00795088502288E+012     1.00388238907584E+012     1.31436627505910E-001     9.56747837989514E+008     9.63231540757492E+011     2.56335119372530E+002     1.20167445406356E+008     1.60345753057041E-002     1.63178680103508E+003     0.00000000000000E+000
  4.83367891802734E+000     9.36079329570964E+011     9.32284404382739E+011     1.13457324165909E-001     8.21394442383153E+008     8.95093094767464E+011     2.25467449943931E+002     1.03249851287719E+008     1.36972583824305E-002     1.62951744736480E+003     0.00000000000000E+000
  4.92312616718213E+000     8.67829895309966E+011     8.64293396211462E+011     9.72757462481245E-002     7.00000982009673E+008     8.28707887469381E+011     1.97053734936117E+002     8.80595247756948E+007     1.16105477301689E-002     1.62708351493547E+003     0.00000000000000E+000
  5.01257341633691E+000     8.03129838802662E+011     7.99840302990966E+011     8.34772906280999E-002     5.96874513991265E+008     7.67339416971298E+011     1.72282074747553E+002     7.51407663742123E+007     9.84633383540667E-003     1.62460797803902E+003     0.00000000000000E+000
  5.10202066549169E+000     7.43376403171874E+011     7.40315879946068E+011     7.17008383922861E-002     5.09206802459376E+008     7.10596473630659E+011     1.50686629367020E+002     6.41473102626679E+007     8.35393109304518E-003     1.62209633106657E+003     0.00000000000000E+000
  5.19146791464648E+000     6.88173720299246E+011     6.85323749821291E+011     6.16415457468401E-002     4.34631980750187E+008     6.58119909500849E+011     1.31860399942006E+002     5.47868229724202E+007     7.09077153157025E-003     1.61955350898173E+003     0.00000000000000E+000
  5.28091516380126E+000     6.37158747072284E+011     6.34510570060950E+011     5.30418486481432E-002     3.71155177504201E+008     6.09579927023227E+011     1.15448156151521E+002     4.68123308680559E+007     6.02108123478574E-003     1.61698394477740E+003     0.00000000000000E+000
  5.38618778732769E+000     5.86061218452567E+011     5.83612417046623E+011     4.44969506279188E-002     3.08396575615060E+008     5.57085201114431E+011     9.88060385070248E+001     3.89211280647445E+007     4.96945163722630E-003     1.61393089014912E+003     0.00000000000000E+000
  5.49146041085412E+000     5.35440306161281E+011     5.33189554454051E+011     3.73767243061334E-002     2.56401278947298E+008     5.09172957235605E+011     8.46424100491825E+001     3.23775453476286E+007     4.10360820991504E-003     1.61085210305405E+003     0.00000000000000E+000
  5.59673303438055E+000     4.89266815817323E+011     4.87200162417594E+011     3.14368752937574E-002     2.13290680490444E+008     4.65433739881230E+011     7.25848031553996E+001     2.69477324404925E+007     3.39026659013547E-003     1.60775271809478E+003     0.00000000000000E+000
  5.70200565790698E+000     4.47137872207656E+011     4.45237891436852E+011     2.64761063171832E-002     1.77520966268106E+008     4.25496082653715E+011     6.23164574197359E+001     2.24391916276673E+007     2.80220444620492E-003     1.60463727895795E+003     0.00000000000000E+000
  5.80727828143341E+000     4.08688692313626E+011     4.06943623484424E+011     2.23283541916423E-002     1.47822059656413E+008     3.89022816695466E+011     5.35681672186783E+001     1.86933132158910E+007     2.31713734559037E-003     1.60150980883011E+003     0.00000000000000E+000
  5.88537313723366E+000     3.77884862482577E+011     3.76264188954072E+011     1.96947343398285E-002     1.29087567646633E+008     3.64022019115475E+011     4.79239436586018E+001     1.63290706854073E+007     2.01292713259324E-003     1.59918409248317E+003     0.00000000000000E+000
  5.96346799303391E+000     3.53554025574033E+011     3.52031234960663E+011     1.73851982456159E-002     1.12754310922034E+008     3.40643638234825E+011     4.29085921940426E+001     1.42669746568002E+007     1.74902331887561E-003     1.59685503655593E+003     0.00000000000000E+000
  6.04156284883416E+000     3.30808388562648E+011     3.29378132601873E+011     1.53585905927581E-002     9.85099808112224E+007     3.18780542157451E+011     3.84504100607922E+001     1.24678869658472E+007     1.52002215968992E-003     1.59452384025965E+003     0.00000000000000E+000
  6.11965770463442E+000     3.09542340130704E+011     3.08197408086011E+011     1.35791254577427E-002     8.60836445946308E+007     2.98332889171400E+011     3.44859250104529E+001     1.08978258162926E+007     1.32125514259002E-003     1.59219160129577E+003     0.00000000000000E+000
  6.19775256043467E+000     2.89657674206848E+011     2.88397592981726E+011     1.20156659868788E-002     7.52401360934695E+007     2.79207603682336E+011     3.09589371072917E+001     9.52727192364153E+006     1.14868709748886E-003     1.58985932482458E+003     0.00000000000000E+000
  6.27549907652581E+000     2.71103190905954E+011     2.69919815439246E+011     1.06468460951772E-002     6.58146283881273E+007     2.61395024532467E+011     2.78328199498707E+001     8.33555282822742E+006     9.99450954099014E-004     1.58753832816632E+003     0.00000000000000E+000
  6.35324559261696E+000     2.53786100463661E+011     2.52674294249105E+011     9.44193097204320E-003     5.75802896598194E+007     2.44727101942010E+011     2.50474631038133E+001     7.29411970043104E+006     8.69742721525794E-004     1.58521903985625E+003     0.00000000000000E+000
  6.43099210870810E+000     2.37584379504057E+011     2.36538825128158E+011     8.38060067290857E-003     5.03848216403100E+007     2.29129323804290E+011     2.25644287713671E+001     6.38381496990350E+006     7.56983019720390E-004     1.58290222231145E+003     0.00000000000000E+000
  6.50873862479925E+000     2.22425176253660E+011     2.21443127904490E+011     7.44512245624379E-003     4.40956887006348E+007     2.14532132187493E+011     2.03496544415249E+001     5.58795670948903E+006     6.58937227159943E-004     1.58058857460256E+003     0.00000000000000E+000
  6.60042763156112E+000     2.07028450002583E+011     2.06110169763643E+011     6.48265082803149E-003     3.76872207237678E+007     1.98514861901299E+011     1.80415753325934E+001     4.77677545320179E+006     5.59595963751856E-004     1.57786495704939E+003     0.00000000000000E+000
