# time[s], T9[GK], density[g/cm^3], Ye 
# 
1.963323401960870171e+02 9.517648577849870950e-01 2.910659705057676614e-05 8.343346788662415747e-01
2.062889830613825666e+02 9.285121036048894494e-01 2.702496536321341361e-05 8.343346788662415747e-01
2.167505592303204480e+02 9.058274420293226381e-01 2.509220681530726027e-05 8.343346788662415747e-01
2.277426754907079953e+02 8.836969938762848642e-01 2.329767436887061172e-05 8.343346788662415747e-01
2.392922372327170137e+02 8.621072190487948372e-01 2.163148243568645523e-05 8.343346788662415747e-01
2.514275143051757482e+02 8.410449082506397112e-01 2.008445242030797983e-05 8.343346788662415747e-01
2.641782102116439432e+02 8.204971749045189000e-01 1.864806215768792719e-05 8.343346788662415747e-01
2.775755348156455966e+02 8.004514472676312886e-01 1.731439896690298926e-05 8.343346788662415747e-01
2.916522807330147202e+02 7.808954607398934655e-01 1.607611606235979942e-05 8.343346788662415747e-01
3.064429035983424683e+02 7.618172503600761925e-01 1.492639208236344893e-05 8.343346788662415747e-01
3.219836064019941659e+02 7.432051434852684491e-01 1.385889351210235182e-05 8.343346788662415747e-01
3.383124281041274344e+02 7.250477526491898583e-01 1.286773979404810109e-05 8.343346788662415747e-01
3.554693367426101531e+02 7.073339685949855404e-01 1.194747093357318706e-05 8.343346788662415747e-01
3.734963272627393849e+02 6.900529534782372520e-01 1.109301742133459995e-05 8.343346788662415747e-01
3.924375243082203610e+02 6.731941342360332481e-01 1.029967230673401584e-05 8.343346788662415747e-01
4.123392902250082557e+02 6.567471961180360029e-01 9.563065268614750019e-06 8.343346788662415747e-01
4.332503385423638065e+02 6.407020763756017256e-01 8.879138540358553152e-06 8.343346788662415747e-01
4.552218532089046903e+02 6.250489581050747701e-01 8.244124556759503219e-06 8.343346788662415747e-01
4.783076138754976228e+02 6.097782642415001675e-01 7.654525199538162993e-06 8.343346788662415747e-01
5.025641275316463066e+02 5.948806516990780002e-01 7.107092527165209327e-06 8.343346788662415747e-01
5.280507668175828258e+02 5.803470056547733735e-01 6.598810882840276711e-06 8.343346788662415747e-01
5.548299153506109178e+02 5.661684339715831182e-01 6.126880282063779879e-06 8.343346788662415747e-01
5.829671204214145064e+02 5.523362617580489520e-01 5.688700988288429160e-06 8.343346788662415747e-01
6.125312534340839647e+02 5.388420260606899825e-01 5.281859191681986962e-06 8.343346788662415747e-01
6.435946784825692930e+02 5.256774706861047086e-01 4.904113712109391721e-06 8.343346788662415747e-01
6.762334294761938054e+02 5.128345411495732753e-01 4.553383653084586606e-06 8.343346788662415747e-01
7.105273962477594978e+02 5.003053797470750075e-01 4.227736938681223853e-06 8.343346788662415747e-01
7.465605200998037390e+02 4.880823207476984726e-01 3.925379670254993216e-06 8.343346788662415747e-01
7.844209992676217098e+02 4.761578857035108081e-01 3.644646244346908957e-06 8.343346788662415747e-01
8.242015048019893584e+02 4.645247788740088368e-01 3.383990177329557189e-06 8.343346788662415747e-01
