# time[s], T9[GK], density[g/cm^3], Ye 
# 
1.111306081624438320e+03 4.000449029075513474e-01 1.320595679561059380e-06 8.343346788662415747e-01
1.173215692820753475e+03 3.893468407720736546e-01 1.217456950743470568e-06 8.343346788662415747e-01
1.238574218786685833e+03 3.789348678546378690e-01 1.122373372754212550e-06 8.343346788662415747e-01
1.307573794682804191e+03 3.688013335135071347e-01 1.034715837055582279e-06 8.343346788662415747e-01
1.380417259303256060e+03 3.589387917015788299e-01 9.539043685849209853e-07 8.343346788662415747e-01
1.457318751363144429e+03 3.493399954950835440e-01 8.794042884225396231e-07 8.343346788662415747e-01
1.538504339004409303e+03 3.399978917685987367e-01 8.107226761558813946e-07 8.343346788662415747e-01
1.624212684370773786e+03 3.309056160124630441e-01 7.474051085335898174e-07 8.343346788662415747e-01
1.714695745205403227e+03 3.220564872887858865e-01 6.890326528312142445e-07 8.343346788662415747e-01
1.810219515533798813e+03 3.134440033223414024e-01 6.352190950355052843e-07 8.343346788662415747e-01
1.911064807609285708e+03 3.050618357227450339e-01 5.856083845079661632e-07 8.343346788662415747e-01
2.017528077419803139e+03 2.969038253343986855e-01 5.398722782205756722e-07 8.343346788662415747e-01
2.129922296182766786e+03 2.889639777107871899e-01 4.977081689770610804e-07 8.343346788662415747e-01
2.248577870389909549e+03 2.812364587098034607e-01 4.588370832504396948e-07 8.343346788662415747e-01
2.373843613106795146e+03 2.737155902068632574e-01 4.230018353897546951e-07 8.343346788662415747e-01
2.506087769382334955e+03 2.663958459226604125e-01 3.899653259835538259e-07 8.343346788662415747e-01
2.645699098782702094e+03 2.592718473624978648e-01 3.595089731214508676e-07 8.343346788662415747e-01
2.793088018232017021e+03 2.523383598642079950e-01 3.314312661743952268e-07 8.343346788662415747e-01
2.948687808519379814e+03 2.455902887517615596e-01 3.055464325249366060e-07 8.343346788662415747e-01
3.112955888019049326e+03 2.390226755917372881e-01 2.816832084260619221e-07 8.343346788662415747e-01
3.286375157368164764e+03 2.326306945499004297e-01 2.596837058561455392e-07 8.343346788662415747e-01
3.469455419054926551e+03 2.264096488452153888e-01 2.394023678727093182e-07 8.343346788662415747e-01
3.662734876090442867e+03 2.203549672986852281e-01 2.207050055532149343e-07 8.343346788662415747e-01
3.866781714169907900e+03 2.144622009744825974e-01 2.034679101509311038e-07 8.343346788662415747e-01
4.082195771974174477e+03 2.087270199109045044e-01 1.875770345915671258e-07 8.343346788662415747e-01
4.309610304521986109e+03 2.031452099387475174e-01 1.729272388951451205e-07 8.343346788662415747e-01
4.549693844756548060e+03 1.977126695847671589e-01 1.594215945305434733e-07 8.343346788662415747e-01
4.803152168838981197e+03 1.924254070579456966e-01 1.469707431000597312e-07 8.343346788662415747e-01
5.070730370926109572e+03 1.872795373163526900e-01 1.354923051108071573e-07 8.343346788662415747e-01
