# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.30308881049580E+008     2.75863086968974E+003     2.73737596628055E+003     1.86330202641428E+003     1.01531038193365E-011     5.81105659145016E+002     1.63654821750480E+002     3.80502788084059E-017     1.01865465929926E-020     1.30647964083952E+000     0.00000000000000E+000
  2.29776292006666E+008     2.75862965816841E+003     2.73737114745797E+003     1.86330125921477E+003     1.01531019275730E-011     5.81105589042914E+002     1.63654754456942E+002     3.80502519054411E-017     1.01865416551901E-020     1.30647914518871E+000     0.00000000000000E+000
  3.29243702963752E+008     2.75862927382619E+003     2.73737070744867E+003     1.86330175923074E+003     1.01531010224456E-011     5.81105528547840E+002     1.63654798266941E+002     3.80502545329258E-017     1.01865446350529E-020     1.30647953805762E+000     0.00000000000000E+000
  1.32391781253461E+009     2.75862602340712E+003     2.73736640316081E+003     1.86329971617803E+003     1.01530864874593E-011     5.81104870202047E+002     1.63654618850948E+002     3.80501166773388E-017     1.01865304271319E-020     1.30647852833313E+000     0.00000000000000E+000
  2.31859192210547E+009     2.75862394016098E+003     2.73736436046250E+003     1.86329760670097E+003     1.01530719007952E-011     5.81104211353528E+002     1.63654433611178E+002     3.80499772745251E-017     1.01865158042102E-020     1.30647747203356E+000     0.00000000000000E+000
  3.31326603167634E+009     2.75862116138871E+003     2.73736152637669E+003     1.86329549656763E+003     1.01530573136628E-011     5.81103552501046E+002     1.63654248313871E+002     3.80498378571295E-017     1.01865011772129E-020     1.30647641527333E+000     0.00000000000000E+000
  1.32600071273849E+010     2.75858851789044E+003     2.73732914442490E+003     1.86327439715847E+003     1.01529114469708E-011     5.81096964086913E+002     1.63652395509537E+002     3.80484437726776E-017     1.01863549206792E-020     1.30646584890642E+000     0.00000000000000E+000
  2.32067482230936E+010     2.75856768184001E+003     2.73730845643084E+003     1.86325329802772E+003     1.01527655844529E-011     5.81090375759971E+002     1.63650542729653E+002     3.80470497635771E-017     1.01862086683290E-020     1.30645528270284E+000     0.00000000000000E+000
  3.31534893188022E+010     2.75853990069542E+003     2.73728086682470E+003     1.86323219922741E+003     1.01526197264494E-011     5.81083787536754E+002     1.63648689978785E+002     3.80456558332083E-017     1.01860624204972E-020     1.30644471664454E+000     0.00000000000000E+000
  1.32620900275888E+011     2.75821352016984E+003     2.73695680197075E+003     1.86302124264330E+003     1.01511614840485E-011     5.81017915150667E+002     1.63630165228654E+002     3.80317217255992E-017     1.01846002801149E-020     1.30633906671068E+000     0.00000000000000E+000
