50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
6.78390e-02 1.49201e-02 8.52370e-04
6.78390e-02 3.66148e-02 5.12124e-03
6.78390e-02 6.78390e-02 1.74601e-02
6.78390e-02 1.08473e-01 4.39798e-02
6.78390e-02 1.58358e-01 9.12184e-02
6.78390e-02 2.17304e-01 1.64389e-01
6.78390e-02 2.85080e-01 2.65271e-01
6.78390e-02 3.61426e-01 3.90637e-01
6.78390e-02 4.46045e-01 5.32241e-01
6.78390e-02 5.38610e-01 6.78683e-01
6.78390e-02 6.38764e-01 8.18315e-01
6.78390e-02 7.46119e-01 9.41796e-01
6.78390e-02 8.60259e-01 1.04338e+00
6.78390e-02 9.80743e-01 1.12090e+00
6.78390e-02 1.10710e+00 1.17499e+00
6.78390e-02 1.23885e+00 1.20791e+00
6.78390e-02 1.37548e+00 1.22236e+00
6.78390e-02 1.51646e+00 1.22010e+00
6.78390e-02 1.66125e+00 1.20027e+00
6.78390e-02 1.80928e+00 1.15769e+00
6.78390e-02 1.95998e+00 1.08169e+00
6.78390e-02 2.11277e+00 9.57473e-01
6.78390e-02 2.26706e+00 7.72908e-01
6.78390e-02 2.42225e+00 5.32437e-01
6.78390e-02 2.57775e+00 2.71772e-01
6.78390e-02 2.73294e+00 5.40716e-02
6.78390e-02 2.88723e+00 -6.80070e-02
6.78390e-02 3.04002e+00 -9.58219e-02
6.78390e-02 3.19072e+00 -7.56680e-02
6.78390e-02 3.33875e+00 -4.83650e-02
6.78390e-02 3.48354e+00 -2.80601e-02
6.78390e-02 3.62452e+00 -1.52472e-02
6.78390e-02 3.76115e+00 -7.81595e-03
6.78390e-02 3.89290e+00 -3.80064e-03
6.78390e-02 4.01926e+00 -1.76552e-03
6.78390e-02 4.13974e+00 -7.90327e-04
6.78390e-02 4.25388e+00 -3.44443e-04
6.78390e-02 4.36124e+00 -1.47865e-04
6.78390e-02 4.46139e+00 -6.33320e-05
6.78390e-02 4.55396e+00 -2.74377e-05
6.78390e-02 4.63857e+00 -1.21967e-05
6.78390e-02 4.71492e+00 -5.64407e-06
6.78390e-02 4.78270e+00 -2.75806e-06
6.78390e-02 4.84164e+00 -1.44287e-06
6.78390e-02 4.89153e+00 -8.18431e-07
6.78390e-02 4.93216e+00 -5.09108e-07
6.78390e-02 4.96339e+00 -3.50681e-07
6.78390e-02 4.98508e+00 -2.69545e-07
6.78390e-02 4.99717e+00 -2.32446e-07
1.08473e-01 2.83399e-03 2.96859e-05
1.08473e-01 1.49201e-02 8.22448e-04
1.08473e-01 3.66148e-02 4.94205e-03
1.08473e-01 6.78390e-02 1.68549e-02
1.08473e-01 1.08473e-01 4.24865e-02
1.08473e-01 1.58358e-01 8.82346e-02
1.08473e-01 2.17304e-01 1.59324e-01
1.08473e-01 2.85080e-01 2.57777e-01
1.08473e-01 3.61426e-01 3.80812e-01
1.08473e-01 4.46045e-01 5.20654e-01
1.08473e-01 5.38610e-01 6.66201e-01
1.08473e-01 6.38764e-01 8.05825e-01
1.08473e-01 7.46119e-01 9.29990e-01
1.08473e-01 8.60259e-01 1.03267e+00
1.08473e-01 9.80743e-01 1.11147e+00
1.08473e-01 1.10710e+00 1.16682e+00
1.08473e-01 1.23885e+00 1.20092e+00
1.08473e-01 1.37548e+00 1.21641e+00
1.08473e-01 1.51646e+00 1.21504e+00
1.08473e-01 1.66125e+00 1.19599e+00
1.08473e-01 1.80928e+00 1.15409e+00
1.08473e-01 1.95998e+00 1.07871e+00
1.08473e-01 2.11277e+00 9.55084e-01
1.08473e-01 2.26706e+00 7.71095e-01
1.08473e-01 2.42225e+00 5.31172e-01
1.08473e-01 2.57775e+00 2.70986e-01
1.08473e-01 2.73294e+00 5.36395e-02
1.08473e-01 2.88723e+00 -6.82312e-02
1.08473e-01 3.04002e+00 -9.59508e-02
1.08473e-01 3.19072e+00 -7.57553e-02
1.08473e-01 3.33875e+00 -4.84264e-02
1.08473e-01 3.48354e+00 -2.81010e-02
1.08473e-01 3.62452e+00 -1.52726e-02
1.08473e-01 3.76115e+00 -7.83064e-03
1.08473e-01 3.89290e+00 -3.80864e-03
