50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
6.78390e-02 4.71492e+00 9.37581e-09
6.78390e-02 4.78270e+00 4.91929e-09
6.78390e-02 4.84164e+00 2.73362e-09
6.78390e-02 4.89153e+00 1.63017e-09
6.78390e-02 4.93216e+00 1.05554e-09
6.78390e-02 4.96339e+00 7.49528e-10
6.78390e-02 4.98508e+00 5.88296e-10
6.78390e-02 4.99717e+00 5.13239e-10
1.08473e-01 2.83399e-03 3.53668e-07
1.08473e-01 1.49201e-02 9.79258e-06
1.08473e-01 3.66148e-02 5.86622e-05
1.08473e-01 6.78390e-02 1.98287e-04
1.08473e-01 1.08473e-01 4.90217e-04
1.08473e-01 1.58358e-01 9.82783e-04
1.08473e-01 2.17304e-01 1.67709e-03
1.08473e-01 2.85080e-01 2.49961e-03
1.08473e-01 3.61426e-01 3.30838e-03
1.08473e-01 4.46045e-01 3.94319e-03
1.08473e-01 5.38610e-01 4.29230e-03
1.08473e-01 6.38764e-01 4.32970e-03
1.08473e-01 7.46119e-01 4.10435e-03
1.08473e-01 8.60259e-01 3.70165e-03
1.08473e-01 9.80743e-01 3.20753e-03
1.08473e-01 1.10710e+00 2.68954e-03
1.08473e-01 1.23885e+00 2.19301e-03
1.08473e-01 1.37548e+00 1.74454e-03
1.08473e-01 1.51646e+00 1.35701e-03
1.08473e-01 1.66125e+00 1.03355e-03
1.08473e-01 1.80928e+00 7.69970e-04
1.08473e-01 1.95998e+00 5.56624e-04
1.08473e-01 2.11277e+00 3.80995e-04
1.08473e-01 2.26706e+00 2.32233e-04
1.08473e-01 2.42225e+00 1.07102e-04
1.08473e-01 2.57775e+00 1.31588e-05
1.08473e-01 2.73294e+00 -3.74939e-05
1.08473e-01 2.88723e+00 -4.36708e-05
1.08473e-01 3.04002e+00 -2.34946e-05
1.08473e-01 3.19072e+00 -1.21878e-06
1.08473e-01 3.33875e+00 1.10445e-05
1.08473e-01 3.48354e+00 1.39669e-05
1.08473e-01 3.62452e+00 1.19882e-05
1.08473e-01 3.76115e+00 8.53577e-06
1.08473e-01 3.89290e+00 5.37588e-06
1.08473e-01 4.01926e+00 3.09314e-06
1.08473e-01 4.13974e+00 1.66159e-06
1.08473e-01 4.25388e+00 8.48253e-07
1.08473e-01 4.36124e+00 4.18290e-07
1.08473e-01 4.46139e+00 2.02421e-07
1.08473e-01 4.55396e+00 9.76560e-08
1.08473e-01 4.63857e+00 4.77118e-08
1.08473e-01 4.71492e+00 2.39754e-08
1.08473e-01 4.78270e+00 1.25792e-08
1.08473e-01 4.84164e+00 6.99008e-09
1.08473e-01 4.89153e+00 4.16843e-09
1.08473e-01 4.93216e+00 2.69906e-09
1.08473e-01 4.96339e+00 1.91655e-09
1.08473e-01 4.98508e+00 1.50427e-09
1.08473e-01 4.99717e+00 1.31235e-09
1.58358e-01 2.83399e-03 7.07009e-07
1.58358e-01 1.49201e-02 1.95772e-05
1.58358e-01 3.66148e-02 1.17309e-04
1.58358e-01 6.78390e-02 3.96843e-04
1.58358e-01 1.08473e-01 9.82783e-04
1.58358e-01 1.58358e-01 1.97621e-03
1.58358e-01 2.17304e-01 3.38767e-03
1.58358e-01 2.85080e-01 5.07953e-03
1.58358e-01 3.61426e-01 6.77051e-03
1.58358e-01 4.46045e-01 8.12939e-03
1.58358e-01 5.38610e-01 8.91116e-03
1.58358e-01 6.38764e-01 9.04347e-03
1.58358e-01 7.46119e-01 8.61497e-03
1.58358e-01 8.60259e-01 7.79917e-03
1.58358e-01 9.80743e-01 6.77725e-03
1.58358e-01 1.10710e+00 5.69476e-03
1.58358e-01 1.23885e+00 4.65079e-03
1.58358e-01 1.37548e+00 3.70429e-03
1.58358e-01 1.51646e+00 2.88438e-03
1.58358e-01 1.66125e+00 2.19885e-03
1.58358e-01 1.80928e+00 1.63953e-03
1.58358e-01 1.95998e+00 1.18633e-03
1.58358e-01 2.11277e+00 8.12890e-04
1.58358e-01 2.26706e+00 4.96284e-04
1.58358e-01 2.42225e+00 2.29745e-04
1.58358e-01 2.57775e+00 2.94636e-05
1.58358e-01 2.73294e+00 -7.87004e-05
1.58358e-01 2.88723e+00 -9.21511e-05
1.58358e-01 3.04002e+00 -4.94381e-05
1.58358e-01 3.19072e+00 -2.19765e-06
1.58358e-01 3.33875e+00 2.37731e-05
1.58358e-01 3.48354e+00 2.98961e-05
1.58358e-01 3.62452e+00 2.56170e-05
1.58358e-01 3.76115e+00 1.82248e-05
1.58358e-01 3.89290e+00 1.14727e-05
1.58358e-01 4.01926e+00 6.59913e-06
1.58358e-01 4.13974e+00 3.54422e-06
1.58358e-01 4.25388e+00 1.80908e-06
1.58358e-01 4.36124e+00 8.91996e-07
1.58358e-01 4.46139e+00 4.31623e-07
1.58358e-01 4.55396e+00 2.08219e-07
1.58358e-01 4.63857e+00 1.01724e-07
1.58358e-01 4.71492e+00 5.11149e-08
1.58358e-01 4.78270e+00 2.68176e-08
1.58358e-01 4.84164e+00 1.49018e-08
1.58358e-01 4.89153e+00 8.88628e-09
1.58358e-01 4.93216e+00 5.75378e-09
1.58358e-01 4.96339e+00 4.08561e-09
1.58358e-01 4.98508e+00 3.20671e-09
1.58358e-01 4.99717e+00 2.79757e-09
2.17304e-01 2.83399e-03 1.20134e-06
2.17304e-01 1.49201e-02 3.32681e-05
2.17304e-01 3.66148e-02 1.99430e-04
2.17304e-01 6.78390e-02 6.75461e-04
2.17304e-01 1.08473e-01 1.67709e-03
2.17304e-01 1.58358e-01 3.38767e-03
2.17304e-01 2.17304e-01 5.84743e-03
2.17304e-01 2.85080e-01 8.84914e-03
2.17304e-01 3.61426e-01 1.19256e-02
2.17304e-01 4.46045e-01 1.44882e-02
2.17304e-01 5.38610e-01 1.60620e-02
2.17304e-01 6.38764e-01 1.64635e-02
2.17304e-01 7.46119e-01 1.58117e-02
2.17304e-01 8.60259e-01 1.44052e-02
2.17304e-01 9.80743e-01 1.25774e-02
2.17304e-01 1.10710e+00 1.06060e-02
2.17304e-01 1.23885e+00 8.68485e-03
2.17304e-01 1.37548e+00 6.93179e-03
2.17304e-01 1.51646e+00 5.40681e-03
2.17304e-01 1.66125e+00 4.12809e-03
2.17304e-01 1.80928e+00 3.08257e-03
2.17304e-01 1.95998e+00 2.23391e-03
