50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.08473e-01 3.89290e+00 4.56157e-02
1.08473e-01 4.01926e+00 2.37952e-02
1.08473e-01 4.13974e+00 1.18977e-02
1.08473e-01 4.25388e+00 5.75795e-03
1.08473e-01 4.36124e+00 2.72743e-03
1.08473e-01 4.46139e+00 1.28025e-03
1.08473e-01 4.55396e+00 6.03503e-04
1.08473e-01 4.63857e+00 2.89707e-04
1.08473e-01 4.71492e+00 1.43649e-04
1.08473e-01 4.78270e+00 7.46126e-05
1.08473e-01 4.84164e+00 4.11499e-05
1.08473e-01 4.89153e+00 2.44029e-05
1.08473e-01 4.93216e+00 1.57374e-05
1.08473e-01 4.96339e+00 1.11436e-05
1.08473e-01 4.98508e+00 8.73071e-06
1.08473e-01 4.99717e+00 7.60953e-06
1.58358e-01 2.83399e-03 -1.35778e+00
1.58358e-01 1.49201e-02 -1.35745e+00
1.58358e-01 3.66148e-02 -1.35578e+00
1.58358e-01 6.78390e-02 -1.35091e+00
1.58358e-01 1.08473e-01 -1.34038e+00
1.58358e-01 1.58358e-01 -1.32135e+00
1.58358e-01 2.17304e-01 -1.29114e+00
1.58358e-01 2.85080e-01 -1.24785e+00
1.58358e-01 3.61426e-01 -1.19093e+00
1.58358e-01 4.46045e-01 -1.12136e+00
1.58358e-01 5.38610e-01 -1.04117e+00
1.58358e-01 6.38764e-01 -9.52614e-01
1.58358e-01 7.46119e-01 -8.57262e-01
1.58358e-01 8.60259e-01 -7.55429e-01
1.58358e-01 9.80743e-01 -6.46124e-01
1.58358e-01 1.10710e+00 -5.27352e-01
1.58358e-01 1.23885e+00 -3.96637e-01
1.58358e-01 1.37548e+00 -2.51730e-01
1.58358e-01 1.51646e+00 -9.15015e-02
1.58358e-01 1.66125e+00 8.28954e-02
1.58358e-01 1.80928e+00 2.66637e-01
1.58358e-01 1.95998e+00 4.49877e-01
1.58358e-01 2.11277e+00 6.17185e-01
1.58358e-01 2.26706e+00 7.49188e-01
1.58358e-01 2.42225e+00 8.27815e-01
1.58358e-01 2.57775e+00 8.44275e-01
1.58358e-01 2.73294e+00 8.03866e-01
1.58358e-01 2.88723e+00 7.20715e-01
1.58358e-01 3.04002e+00 6.07679e-01
1.58358e-01 3.19072e+00 4.76510e-01
1.58358e-01 3.33875e+00 3.44455e-01
1.58358e-01 3.48354e+00 2.29858e-01
1.58358e-01 3.62452e+00 1.42637e-01
1.58358e-01 3.76115e+00 8.29488e-02
1.58358e-01 3.89290e+00 4.55238e-02
1.58358e-01 4.01926e+00 2.37493e-02
1.58358e-01 4.13974e+00 1.18756e-02
1.58358e-01 4.25388e+00 5.74761e-03
